firma,2019,2018,2017,2016
Rabobank Group,2235.2,1701.0,828.3,976.0
Henan Energy &amp; Chemical,-133.3,-68.6,-,-
China General Technology,442.7,-,413.6,523.0
U.S. Bancorp,7096.0,6218.0,5888.0,5879.0
Macy's,1108.0,1547.0,619.0,1072.0
Fomento Económico Mexicano,1247.3,2241.8,-,-
Dollar General,1589.5,-,1251.1,-
LG Chem,1338.5,-,-,-
Onex,-663.0,2394.0,-130.0,-573.0
Formosa Petrochemical,1993.4,-,-,-
Safran,1514.2,-,-,-
Achmea,370.6,242.4,-423.5,425.0
Rajesh Exports,184.8,196.4,185.8,163.0
Nucor,2360.8,-,-,-
Bank of Montreal,4235.1,-,-,-
Taikang Insurance Group,1794.6,1683.2,-,-
Ultrapar Holdings,314.8,493.2,447.5,451.0
Air Liquide,2494.2,-,-,-
